id,categories1,categories2,categories3,categories4,categories5,Job_title
204934,.net,c#,javascript,sql,apache-spark,Software Developer
205331,java,c#,.net,artificial-intelligence,chatbot,Software Developer
143916,c#,.net,,,,Software Developer
203765,c#,.net,asp.net,machine-learning,azure,Software Developer
201438,python-3.x,c++,.net,c#,,Software Developer
199120,c#,.net,design,,,Artificial Intelligence
204310,c#,.net,amazon-web-services,agile,matlab,Software Developer
206152,c#,.net,sql,javascript,angular,Software Developer
204278,scrum,cloud,azure,.net,ai,Cloud Engineer
204926,hadoop,.net,java,sql,vba,Software Developer
203110,.net,typescript,blockchain,machine-learning,angular,Software Developer
194866,c#,automation,.net,software-design,matlab,Software Developer
200052,scikit-learn,python,machine-learning,r,statistics,Data Scientist
196670,hadoop,amazon-web-services,apache-spark,hive,etl,Data Engineer
206706,java,python,sql,,,Software Developer
163093,java,c#,spring,elasticsearch,angularjs,Software Developer
206038,java,python,sql,,,Software Developer
206796,machine-learning,python,spark,scala,,Data Scientist
148168,c#,scala,reactjs,microservices,parallel-processing,Big Data Developer
198525,amazon-web-services,cloud,lambda,nosql,javascript,Cloud Engineer
207016,mysql,json,mongodb,xml,sql-server,Data Architect
198470,c#,aws,iot,elasticsearch,,Software Developer
185432,agile,apache,c#,hadoop,java,Software Developer
194073,python,c++,sql,c,linux,Machine Learning Engineer
160945,ruby-on-rails,javascript,go,elasticsearch,postgresql,Software Developer
200577,selenium,automated-tests,selenium-webdriver,artificial-intelligence,,Artificial Intelligence
204606,sql,sql-server,data-warehouse,business-intelligence,,Software Developer
202161,node.js,reactjs,postgresql,typescript,lambda,Data Engineer
198692,ssis,sql-server,reporting-services,data-warehouse,python,Data Engineer
184364,elasticsearch,angular,c#,sql-server,javascript,Software Developer
194487,mongodb,elasticsearch,angularjs,javascript,c#,Full Stack Developer 
199333,spring,spring-mvc,java,javascript,machine-learning,Java Developer
159231,postgresql,go,cassandra,docker,node.js,Backend Developer
206448,data-warehouse,nosql,sql,oracle11g,hadoop,Data Architect
203447,machine-learning,algorithm,ruby-on-rails,,,Machine Learning Engineer
204847,qa,testing,software-quality,analysis,validation,Quality Assurance Analyst 
198278,python,machine-learning,pyspark,data-science,,Data Scientist
198279,python,machine-learning,pyspark,data-science,,Data Scientist
198265,c#,webgl,three.js,d3.js,opengl,Software Developer
205210,sql,python,ssis,sysadmin,,Data Architect
202588,python,linux,machine-learning,gpu,keras,Data Scientist
207354,java,python,c++,,,Machine Learning Engineer
191001,java,machine-learning,docker,kotlin,bamboo,Backend Developer
202670,c#,model-view-controller,xamarin,,,Full Stack Developer 
200549,python,data-science,machine-learning,,,Machine Learning Engineer
173255,javascript,go,reactjs,apache-kafka,hbase,Software Developer
159863,python-3.x,numpy,pandas,functional-programming,flask,Python Developer
206587,amazon-web-services,mysql,etl,reporting,validation,Data Engineer
154735,go,cassandra,distributed-computing,java,amazon-web-services,Data Engineer
208102,python,etl,amazon-web-services,docker,sql,Data Engineer
207192,java,sql,machine-learning,hadoop,,Data Engineer
207900,reactjs,typescript,d3.js,ecmascript-6,redux-observable,Front End Developer
197120,ruby-on-rails,postgresql,python,amazon-s3,hive,Data Engineer
199345,hadoop,linux,bigdata,python,hiveql,Big Data Developer
204489,hadoop,apache-spark,etl,,,Big Data Developer
204279,python,sql,snowflake-datawarehouse,etl,,Data Engineer
201782,python,sql,pandas,numpy,scipy,Data Scientist
204280,java,algorithm,machine-learning,real-time,,Software Developer
201634,java,python,r,machine-learning,scala,Data Scientist
208124,python,java,cloud,statistics,scala,Backend Developer
207914,node.js,cloud,amazon-web-services,elasticsearch,postgresql,Backend Developer
201783,tdd,sql,ruby,git,java,Data Engineer
169863,java,elasticsearch,heroku,solr,mapreduce,Java Developer
198639,r,machine-learning,,,,Data Scientist
208554,c#,.net,agile,asp.net,sql-server,Software Developer
201817,delphi,c#,c++,machine-learning,data-visualization,Data Analyst
169340,c++,qt,3d,python,computer-vision,Software Developer
205105,machine-learning,c++,c#,image-processing,motion,Software Developer
201683,machine-learning,algorithm,c++,openrave,ros,Software Developer
206755,c++,math,algorithm,optimization,data-analysis,Data Analyst
202708,c++,robotics,computer-vision,ros,3d,Software Developer
202703,c++,robotics,computer-vision,ros,3d,Software Developer
203424,machine-learning,c++,python,opencv,slam,Cloud Engineer
161076,c++,qt,opengl,deep-learning,image-processing,Software Developer
195710,c++,c,virtual-reality,simd,,Software Developer
199035,c++,,,,,Machine Learning Engineer
206020,c++,qt,machine-learning,,,Software Developer
205189,node.js,c++,typescript,d3.js,angular,Software Developer
204136,qa,jira,testing,mobile,google-chrome-devtools,Quality Assurance Analyst 
206866,python,machine-learning,,,,Machine Learning Engineer
204775,machine-learning,algorithm,c++,python,,Data Scientist
140607,c++,qt,,,,Software Developer
171421,c++,python,qt,,,Software Developer
195467,machine-learning,deep-learning,pytorch,python,opencv,Machine Learning Engineer
189941,c++,stl,multithreading,machine-learning,,Software Developer
169791,java,backend,database,apache-kafka,amazon-web-services,Data Engineer
